meanHue, mom1, mom2, mom3, mom4, mom5, mom6, mom7,class
0.067272, 0.000789837,5.46191e-009,2.51058e-012,3.87154e-012,-1.01319e-024,-2.85914e-016,1.20275e-023,mela_gialla
0.0866882, 0.000806984,4.59505e-009,4.10056e-012,7.63326e-012,4.41277e-024,-5.16962e-016,4.24772e-023,mela_gialla
0.0850112, 0.000816092,2.28933e-009,4.28236e-012,9.01287e-012,-8.29306e-024,-4.28426e-016,5.53759e-023,mela_gialla
0.0953575, 0.000760828,2.96167e-008,1.81606e-011,3.47371e-012,-2.75874e-023,-5.97775e-016,3.95954e-025,mela_gialla
0.0870721, 0.000784264,8.25219e-009,7.37966e-012,5.56019e-012,-1.29578e-023,-4.75496e-016,3.31758e-023,mela_gialla
0.0822033, 0.00079257,1.19817e-008,1.13511e-011,6.35752e-012,-3.51211e-023,-5.61111e-016,4.10276e-023,mela_gialla
0.0863031, 0.000785771,2.77883e-008,2.62669e-011,5.12069e-012,-5.69874e-023,-8.4395e-016,1.67137e-023,mela_gialla
0.0810401, 0.000779791,2.02085e-008,1.94102e-011,4.79191e-012,-4.2235e-023,-6.61137e-016,1.87611e-023,mela_gialla
0.0789271, 0.000784439,2.08595e-008,2.30375e-011,5.45995e-012,-5.44624e-023,-7.20549e-016,2.79929e-023,mela_gialla
0.0695704, 0.000798528,2.80703e-008,2.02155e-011,5.58572e-012,-5.52201e-023,-9.0059e-016,2.17671e-023,mela_gialla
0.0885762, 0.000795313,3.21631e-008,1.85892e-011,4.91609e-012,-4.64435e-023,-8.7458e-016,7.18445e-024,mela_gialla
0.293257, 0.00132703,2.52791e-008,1.067e-012,8.8425e-011,1.52154e-022,-9.79519e-015,8.45318e-022,mela_rossa
0.253168, 0.00124866,2.98843e-008,1.82759e-011,6.1329e-011,8.57034e-022,-6.10621e-015,1.86581e-021,mela_rossa
0.254888, 0.00168177,2.35114e-007,2.96258e-010,1.82988e-010,-2.52671e-020,-6.92999e-014,3.43052e-020,mela_rossa
0.236581, 0.00121863,2.52041e-008,2.63294e-011,5.47356e-011,7.91598e-022,-4.61303e-015,1.92121e-021,mela_rossa
0.242159, 0.00167178,2.26877e-007,3.059e-010,1.74891e-010,-2.33511e-020,-6.67764e-014,3.30316e-020,mela_rossa
0.255747, 0.00136194,3.48965e-008,2.1844e-011,1.16383e-010,1.55007e-021,-3.84011e-015,5.65974e-021,mela_rossa
0.253757, 0.00171107,1.31218e-007,7.39076e-010,5.83134e-010,3.00623e-019,-3.09602e-016,2.3702e-019,mela_rossa
0.245371, 0.00123222,2.87384e-008,2.20417e-011,5.30311e-011,4.2126e-022,-4.47882e-015,1.76347e-021,mela_rossa
0.24285, 0.00124432,3.01114e-008,2.84279e-011,5.83138e-011,7.85912e-022,-5.33708e-015,2.24042e-021,mela_rossa
0.26598, 0.00135057,4.22706e-008,1.88656e-011,1.05784e-010,-9.32528e-022,-7.37411e-015,4.63279e-021,mela_rossa
0.256026, 0.00138638,4.40892e-008,1.82548e-011,1.25816e-010,-2.02905e-021,-6.35062e-015,5.67796e-021,mela_rossa
0.241498, 0.00219539,3.49705e-007,1.11197e-009,1.47794e-009,1.29844e-018,3.71517e-013,1.37976e-018,mela_rossa
0.265958, 0.00133284,2.53544e-008,4.28376e-012,9.24915e-011,9.65705e-023,-5.42977e-015,1.83851e-021,mela_rossa
0.238245, 0.0020067,2.27091e-007,4.11457e-010,7.25454e-010,2.03293e-019,-2.20151e-015,3.40241e-019,mela_rossa
0.210302, 0.00129832,3.42235e-008,6.24266e-011,1.10634e-010,5.92893e-021,9.46489e-015,7.02733e-021,mela_rossa
0.26923, 0.00170694,2.72075e-007,1.01359e-010,1.77346e-010,-7.86714e-021,-5.64383e-014,2.24382e-020,mela_rossa
0.26765, 0.00171416,3.09122e-007,1.99741e-010,1.75004e-010,-4.95881e-021,-4.78464e-014,3.23414e-020,mela_rossa
0.128848, 0.00090837,2.45741e-008,7.33612e-012,1.81437e-011,-1.62297e-022,-2.72355e-015,-1.322e-022,mela_rossa
0.299681, 0.00150935,2.06768e-007,9.4734e-011,1.01392e-010,-9.11083e-021,-4.47144e-014,-3.96705e-021,mela_rossa
0.123358, 0.00090996,2.45241e-008,6.96612e-012,1.85001e-011,-1.70789e-022,-2.76826e-015,-1.22224e-022,mela_rossa
0.315556, 0.00152826,2.12027e-007,9.84198e-011,1.12504e-010,-1.06165e-020,-4.96122e-014,-5.23825e-021,mela_rossa
0.11544, 0.000910578,2.44996e-008,7.50732e-012,1.87264e-011,-1.75393e-022,-2.80487e-015,-1.36152e-022,mela_rossa
0.312806, 0.00151748,2.0527e-007,7.71203e-011,1.09213e-010,-8.50128e-021,-4.76357e-014,-5.30932e-021,mela_rossa
0.116746, 0.000908355,2.41105e-008,6.14013e-012,1.83426e-011,-1.62666e-022,-2.72659e-015,-1.06925e-022,mela_rossa
0.298039, 0.00151237,2.05763e-007,9.16876e-011,1.10332e-010,-8.80876e-021,-4.74782e-014,-6.74915e-021,mela_rossa
0.225857, 0.00141792,8.61131e-008,3.96724e-011,5.20303e-011,-2.36389e-021,-1.52683e-014,-6.09631e-024,mela_rossa
0.134203, 0.000989922,5.79267e-008,2.61979e-011,3.1325e-011,-3.89964e-022,-5.87888e-015,-8.08203e-022,mela_rossa
