meanHue, mom1, mom2, mom3, mom4, mom5, mom6, mom7,stdDevHue,entropy,area,distance,class
0.0373344, 0.00114839,2.17671e-007,1.24162e-011,1.80917e-010,8.24004e-021,8.36561e-014,-2.37171e-021,32.6218,1.61933,13625,823,bicchiere
0.0692061, 0.0011258,4.46848e-008,6.28667e-010,2.74905e-010,8.68087e-020,1.77739e-014,7.43306e-020,41.3045,2.68486,22142.5,494,bicchiere
0.0834472, 0.000906973,4.81318e-009,7.17985e-012,1.08933e-011,6.19185e-023,-1.08887e-016,-7.38052e-023,43.2658,3.07858,28137,263,bicchiere
0.0844466, 0.00104236,2.34098e-008,4.88971e-011,1.99202e-011,1.05614e-022,1.84904e-015,-6.12668e-022,43.3646,3.23277,28208,306,bicchiere
0.0866519, 0.000940153,1.49213e-007,6.37144e-011,1.78385e-011,5.81583e-022,6.84215e-015,1.53069e-022,48.1908,2.98225,11034.5,506,bicchiere
0.0604541, 0.00152581,7.43723e-008,2.57825e-010,4.45022e-010,1.16319e-019,1.05616e-013,-9.58804e-020,39.2382,2.49428,28202.5,310,bicchiere
0.0710212, 0.00103463,1.26746e-009,2.4493e-012,1.00181e-010,1.46251e-021,3.21804e-015,5.68918e-022,41.3549,2.74135,28088,273,bicchiere
0.0802643, 0.000885674,3.13357e-009,9.46426e-014,2.38454e-011,-1.75175e-024,1.08115e-015,-3.57791e-023,42.881,2.97443,28458,269,bicchiere
0.0783685, 0.00087695,9.48232e-010,9.56328e-013,2.60932e-011,-1.92616e-023,8.01428e-016,1.28914e-022,42.5998,2.89014,28147,269,bicchiere
0.0326462, 0.00325619,5.18534e-006,4.04698e-009,1.22243e-009,2.57649e-018,2.00936e-012,8.68545e-019,30.7714,1.28335,15980,683,bicchiere
0.0660622, 0.00107501,1.8563e-009,1.21685e-011,1.50306e-010,5.50538e-021,2.64952e-015,3.31827e-021,40.342,2.60967,26675,274,bicchiere
0.0755012, 0.000902402,6.30528e-010,7.96105e-013,3.37196e-011,5.25626e-024,5.5423e-016,1.74627e-022,42.2161,2.81947,27828,265,bicchiere
0.064831, 0.00102738,1.94052e-011,5.03778e-012,1.27924e-010,3.04954e-021,3.63909e-016,1.11646e-021,40.1301,2.55678,27244,269,bicchiere
0.066744, 0.00099627,1.00499e-009,2.91224e-012,1.02139e-010,1.75592e-021,-4.39647e-016,1.40859e-022,40.528,2.61697,26804.5,272,bicchiere
0.0499908, 0.00138212,2.90982e-008,1.04493e-010,5.55628e-010,6.29406e-020,-4.28558e-014,1.18164e-019,36.3242,2.11731,26352.5,271,bicchiere
0.0535098, 0.0013117,1.39388e-008,7.08721e-011,4.41008e-010,4.07215e-020,-1.89957e-014,6.64868e-020,37.3094,2.19669,26549,272,bicchiere
0.0582926, 0.00112917,2.63274e-009,1.94798e-011,2.0903e-010,4.96862e-021,-1.01358e-014,1.23785e-020,38.5167,2.33261,27223,271,bicchiere
0.00911444, 0.00962865,3.25797e-005,2.55467e-007,1.71985e-007,2.08701e-014,9.48356e-010,-2.93942e-014,16.5406,0.575056,15594,832,bicchiere
0.0139196, 0.00300491,2.18644e-006,2.19e-008,3.70384e-008,1.04754e-015,5.3976e-011,1.24206e-016,20.5323,0.769533,15090,785,bicchiere
0.0436879, 0.00150315,2.39261e-008,2.13474e-009,6.30744e-010,-4.48985e-019,-9.64332e-014,5.78007e-019,34.5507,1.88251,17833,777,bicchiere
0.035298, 0.00291756,4.00358e-006,3.04084e-009,8.11319e-010,1.24904e-018,1.03107e-012,2.52651e-019,31.9044,1.37287,15604.5,682,bicchiere
0.0420175, 0.00246662,1.86418e-006,6.56481e-009,4.60557e-010,-1.1017e-020,-4.1873e-013,-8.00746e-019,33.9401,1.79542,16069,845,bicchiere
0.0367376, 0.00163778,3.33947e-007,8.15162e-010,1.12415e-009,7.01065e-019,6.38949e-013,-8.16407e-019,32.0882,1.64511,22490,622,bicchiere
0.0252662, 0.00227458,6.60781e-007,4.77904e-009,3.9268e-009,5.36854e-019,2.74088e-012,-1.70025e-017,27.2868,1.20475,16765,806,bicchiere
0.0328265, 0.00245911,1.41452e-007,9.81204e-009,3.38747e-009,-1.93224e-017,-7.89607e-013,-2.8373e-018,30.9103,1.49741,18510,738,bicchiere
0.0249077, 0.00334392,2.27446e-006,7.23442e-009,4.74399e-010,-3.28974e-019,1.3333e-013,-8.14963e-019,27.2321,1.17907,16315.5,832,bicchiere
